wkt_geom,HEIGHT,VEL,D20190106,D20190207,D20190327,D20190412,D20190428,D20190510,D20190610,D20190626,D20190712,D20190728,D20190814,D20190829,D20190927,D20191009,D20191025,D20191117,D20191203,D20200113,D20200205,D20200221,D20200324,D20200409,D20200425,D20200511,D20200527,D20200612,D20200628,D20200714,D20200730,D20200815,D20200916,D20201011,D20201018,D20201103,D20201119,D20201205,D20201221,,,,,,,,,,,,,,,
MultiPoint ((114.17008354173569273 22.56937905252587129)),5.33,-7.2,0,16.2,-7.4,13.6,-3.3,8.5,7.5,4,-16.3,-7.5,5.5,1.3,-2.5,8.2,18.2,0.7,3.1,1.6,-0.7,-7.9,1,-10.9,-10.8,-0.6,-3.9,-5.5,-3.5,-7.2,4.9,-10.3,-11.2,4.7,-9.6,-14.2,-5.1,-7.2,-9.8,,,,,,,,,,,,,,,
MultiPoint ((114.16984433846529612 22.56933303067251728)),28.68,-36.9,0,4.3,-19.3,4.3,-9.6,-9.8,-6.9,-9.9,-24.8,-17,-11.3,-12.3,-5.5,-1.3,-5.8,-13.3,-14.6,-19.4,-17.8,-24.5,-20.5,-30.1,-34.2,-27,-22.1,-32.8,-32.4,-33.4,-16.1,-34.3,-38.6,-25.9,-30.5,-37.1,-30.8,-36.9,-39.2,,,,,,,,,,,,,,,
MultiPoint ((114.17009896360123378 22.5690232424518058)),8.39,-10.5,0,18,-8.8,11,3.7,8.2,12.1,-0.3,-7.3,-6.4,1.7,3.3,9.4,10.4,8.9,-0.6,0.3,0.9,-1.5,-7.4,0.4,-8,-11.4,-5.1,-4.5,-8.3,-10.6,-14.3,1.5,-11.5,-19.4,-3.3,-7.4,-12.3,-6.3,-10.5,-11.1,,,,,,,,,,,,,,,
